绊按内靛,捞抚,己,积斥岿老,去牢咯何,己喊,矫,林/档,惫啊疙,惫啊内靛,快祈锅龋
11059,Ashlee,Andersen,1959-09-29,固去,咯己,Townsville,Queensland,龋林,AU,4810
11060,Jon,Zhou,1959-09-14,扁去,巢己,Warrnambool,Victoria,龋林,AU,3280
11061,Todd,Gao,1976-02-20,扁去,巢己,Gold Coast,Queensland,龋林,AU,4217
11068,Tiffany,Liang,1966-09-19,固去,咯己,Warrnambool,Victoria,龋林,AU,3280
11069,Carolyn,Navarro,1966-09-17,固去,咯己,Gold Coast,Queensland,龋林,AU,4217
11070,Willie,Raji,1960-10-02,扁去,巢己,Sunbury,Victoria,龋林,AU,3429
11071,Linda,Serrano,1960-12-23,固去,咯己,Hawthorne,Queensland,龋林,AU,4171
11072,Casey,Luo,1960-08-05,固去,咯己,St. Leonards,New South Wales,龋林,AU,2065
11073,Amy,Ye,1962-02-11,固去,咯己,Springwood,New South Wales,龋林,AU,2777
11074,Levi,Arun,1962-02-25,固去,巢己,Cloverdale,South Australia,龋林,AU,6105
11075,Felicia,Jimenez,1963-05-16,固去,咯己,Bendigo,Victoria,龋林,AU,3550
11076,Blake,Anderson,1963-01-10,固去,巢己,Wollongong,New South Wales,龋林,AU,2500
11077,Leah,Ye,1963-03-19,固去,咯己,Melton,Victoria,龋林,AU,3337
11079,Donald,Gonzalez,1970-03-07,固去,巢己,Geelong,Victoria,龋林,AU,3220
11080,Damien,Chander,1965-01-13,扁去,巢己,Perth,South Australia,龋林,AU,6006
11092,Cheryl,Diaz,1972-11-02,扁去,咯己,East Brisbane,Queensland,龋林,AU,4169
11093,Aimee,He,1978-09-06,扁去,咯己,Wollongong,New South Wales,龋林,AU,2500
11094,Cedric,Ma,1967-09-29,固去,巢己,Cranbourne,Victoria,龋林,AU,3977
11095,Chad,Kumar,1968-02-29,固去,巢己,Port Macquarie,New South Wales,龋林,AU,2444
11096,Andr?s,Anand,1968-02-07,扁去,巢己,North Sydney,New South Wales,龋林,AU,2055
11097,Edwin,Nara,1972-10-23,扁去,巢己,Warrnambool,Victoria,龋林,AU,3280
11098,Mallory,Rubio,1966-10-29,固去,咯己,Rhodes,New South Wales,龋林,AU,2138
11099,Adam,Ross,1966-09-05,扁去,巢己,Port Macquarie,New South Wales,龋林,AU,2444
11100,Latasha,Navarro,1966-03-15,固去,咯己,Cloverdale,South Australia,龋林,AU,6105
11101,Abby,Sai,1970-11-05,固去,咯己,Cranbourne,Victoria,龋林,AU,3977
11102,Julia,Nelson,1970-10-19,固去,咯己,Sydney,New South Wales,龋林,AU,1002
11103,Cassie,Chande,1981-04-12,固去,咯己,Darlinghurst,New South Wales,龋林,AU,2010
11104,Edgar,Sara,1975-03-08,扁去,巢己,Gold Coast,Queensland,龋林,AU,4217
11105,Candace,Fernandez,1970-06-27,固去,咯己,Matraville,New South Wales,龋林,AU,2036
11106,Jessie,Liu,1970-03-11,固去,巢己,Warrnambool,Victoria,龋林,AU,3280
11107,Bianca,Lin,1976-03-04,扁去,咯己,St. Leonards,New South Wales,龋林,AU,2065
11108,Kari,Alvarez,1969-01-10,固去,咯己,Port Macquarie,New South Wales,龋林,AU,2444
11109,Ruben,Kapoor,1980-04-30,固去,巢己,South Melbourne,Victoria,龋林,AU,3205
11110,Curtis,Yang,1967-12-04,扁去,巢己,Darlinghurst,New South Wales,龋林,AU,2010
11111,Meredith,Gutierrez,1967-08-23,扁去,咯己,Geelong,Victoria,龋林,AU,3220
11112,Crystal,Wang,1968-03-08,扁去,咯己,Hervey Bay,Queensland,龋林,AU,4655
11113,Micheal,Blanco,1973-02-17,扁去,巢己,Perth,South Australia,龋林,AU,6006
11114,Leslie,Moreno,1967-11-25,固去,咯己,Rhodes,New South Wales,龋林,AU,2138
11115,Alvin,Cai,1967-08-12,扁去,巢己,St. Leonards,New South Wales,龋林,AU,2065
11116,Clinton,Carlson,1979-04-02,扁去,巢己,Sydney,New South Wales,龋林,AU,1002
11117,April,Deng,1966-08-21,扁去,咯己,Matraville,New South Wales,龋林,AU,2036
11118,Alvin,Zeng,1962-12-31,固去,巢己,Lavender Bay,New South Wales,龋林,AU,2060
11119,Evan,James,1940-10-07,固去,巢己,Port Macquarie,New South Wales,龋林,AU,2444
11120,Beth,Jim?nez,1942-02-06,固去,咯己,Sydney,New South Wales,龋林,AU,1002
11121,Orlando,Suarez,1966-05-18,扁去,巢己,Newcastle,New South Wales,龋林,AU,2300
11122,Byron,Vazquez,1965-09-30,扁去,巢己,North Sydney,New South Wales,龋林,AU,2055
11123,Philip,Alvarez,1965-12-18,扁去,巢己,Sunbury,Victoria,龋林,AU,3429
11124,Ross,Jordan,1968-07-23,固去,巢己,Warrnambool,Victoria,龋林,AU,3280
11125,Dana,Navarro,1961-10-06,固去,咯己,Seaford,Victoria,龋林,AU,3198
11126,Shaun,Carson,1954-10-05,扁去,巢己,North Ryde,New South Wales,龋林,AU,2113
11134,Larry,Townsend,1957-02-22,固去,巢己,Perth,South Australia,龋林,AU,6006
11139,Tanya,Moreno,1949-11-05,固去,咯己,Cloverdale,South Australia,龋林,AU,6105
11146,Karla,Goel,1945-02-22,固去,咯己,Matraville,New South Wales,龋林,AU,2036
11147,Ernest,Wu,1944-08-04,扁去,巢己,Warrnambool,Victoria,龋林,AU,3280
11148,Ross,Vazquez,1947-02-13,扁去,巢己,East Brisbane,Queensland,龋林,AU,4169
11149,Theodore,Gill,1946-10-18,扁去,巢己,Hervey Bay,Queensland,龋林,AU,4655
11150,Russell,Shen,1946-09-12,固去,巢己,Sunbury,Victoria,龋林,AU,3429
11151,Melinda,Gill,1947-08-25,固去,咯己,Sydney,New South Wales,龋林,AU,1002
11356,Terrence,Carson,1985-11-24,固去,巢己,Lavender Bay,New South Wales,龋林,AU,2060
11357,Ramon,Ye,1984-09-19,固去,巢己,Caloundra,Queensland,龋林,AU,4551
11358,Cynthia,Malhotra,1984-05-10,固去,咯己,Coffs Harbour,New South Wales,龋林,AU,2450
11359,Jarrod,Prasad,1984-03-03,固去,巢己,Malabar,New South Wales,龋林,AU,2036
11360,Tyrone,Serrano,1984-01-30,固去,巢己,Rockhampton,Queensland,龋林,AU,4700
11361,Cindy,Ramos,1982-10-26,扁去,咯己,Newcastle,New South Wales,龋林,AU,2300
11362,Damien,Shan,1983-05-11,扁去,巢己,Cranbourne,Victoria,龋林,AU,3977
11363,Julian,Ross,1983-04-19,固去,巢己,Melbourne,Victoria,龋林,AU,3000
11364,Jennifer,Collins,1985-03-22,固去,咯己,Geelong,Victoria,龋林,AU,3220
11365,Brittney,Sun,1984-12-06,固去,咯己,Findon,South Australia,龋林,AU,5023
11366,Virginia,Patel,1985-04-23,扁去,咯己,Seaford,Victoria,龋林,AU,3198
11367,Calvin,Nara,1984-08-21,扁去,巢己,North Sydney,New South Wales,龋林,AU,2055
11368,Edward,Miller,1984-05-24,固去,巢己,Rockhampton,Queensland,龋林,AU,4700
11369,Ashlee,Tang,1984-02-01,扁去,咯己,Findon,South Australia,龋林,AU,5023
11370,Alicia,Xu,1983-09-29,扁去,咯己,South Melbourne,Victoria,龋林,AU,3205
11371,Lacey,Jai,1983-11-24,扁去,咯己,Rockhampton,Queensland,龋林,AU,4700
11372,Wendy,Romero,1983-11-12,固去,咯己,Brisbane,Queensland,龋林,AU,4000
11443,Grace,Griffin,1981-11-19,固去,咯己,Hobart,Tasmania,龋林,AU,7001
11444,Tina,Mehta,1981-10-26,扁去,咯己,Bendigo,Victoria,龋林,AU,3550
11445,Kari,Kim,1980-01-18,固去,咯己,Silverwater,New South Wales,龋林,AU,2264
11446,Bethany,Chander,1980-02-09,固去,咯己,Lane Cove,New South Wales,龋林,AU,1597
11447,Jennifer,Roberts,1980-02-13,扁去,咯己,Hervey Bay,Queensland,龋林,AU,4655
11448,Kyle,Patterson,1980-10-25,固去,巢己,Melbourne,Victoria,龋林,AU,3000
11449,Alvin,Hu,1980-08-01,扁去,巢己,Seaford,Victoria,龋林,AU,3198
11450,Brett,Mehta,1981-05-11,固去,巢己,Cloverdale,South Australia,龋林,AU,6105
11451,Ruben,Mu?oz,1980-05-08,固去,巢己,Newcastle,New South Wales,龋林,AU,2300
11452,Erika,Rubio,1979-05-05,固去,咯己,Caloundra,Queensland,龋林,AU,4551
11453,Stanley,Malhotra,1984-08-17,固去,巢己,Hobart,Tasmania,龋林,AU,7001
11454,Melinda,Navarro,1979-10-20,固去,咯己,Melbourne,Victoria,龋林,AU,3000
11455,Ross,Sanz,1979-10-19,扁去,巢己,Melton,Victoria,龋林,AU,3337
11456,Jon,Gao,1980-01-05,扁去,巢己,St. Leonards,New South Wales,龋林,AU,2065
11457,Jaime,Gutierrez,1978-11-18,扁去,咯己,Wollongong,New South Wales,龋林,AU,2500
11458,Bianca,Liu,1978-10-03,扁去,咯己,Springwood,New South Wales,龋林,AU,2777
11459,Tasha,Deng,1978-04-12,固去,咯己,Port Macquarie,New South Wales,龋林,AU,2444
11460,Melvin,Chande,1983-10-04,固去,巢己,Cranbourne,Victoria,龋林,AU,3977
11461,Victor,Jimenez,1977-09-22,固去,巢己,Lavender Bay,New South Wales,龋林,AU,2060
11462,Laura,Lin,1977-07-18,扁去,咯己,Matraville,New South Wales,龋林,AU,2036
11463,Alisha,Beck,1977-09-09,扁去,咯己,Cloverdale,South Australia,龋林,AU,6105
11464,Alejandro,Huang,1977-05-15,扁去,巢己,South Melbourne,Victoria,龋林,AU,3205
11465,Louis,Luo,1976-08-18,扁去,巢己,Gold Coast,Queensland,龋林,AU,4217
11466,Grant,Tang,1977-01-30,扁去,巢己,Lavender Bay,New South Wales,龋林,AU,2060
11467,Arturo,Zheng,1975-04-06,扁去,巢己,St. Leonards,New South Wales,龋林,AU,2065
11472,Kenneth,Kumar,1968-09-30,固去,巢己,Hawthorne,Queensland,龋林,AU,4171
11749,Eduardo,Jackson,1980-09-09,扁去,巢己,Coffs Harbour,New South Wales,龋林,AU,2450
11750,Latoya,She,1984-09-17,扁去,咯己,Newcastle,New South Wales,龋林,AU,2300
11751,Victoria,Gonzales,1976-01-14,扁去,咯己,Melton,Victoria,龋林,AU,3337
11752,Lauren,Bryant,1981-05-03,扁去,咯己,Goulburn,New South Wales,龋林,AU,2580
11753,Felicia,Ortega,1975-09-15,扁去,咯己,Coffs Harbour,New South Wales,龋林,AU,2450
11754,Janet,Ortega,1976-01-05,扁去,咯己,Malabar,New South Wales,龋林,AU,2036
11755,Willie,Pal,1973-11-12,扁去,巢己,Hervey Bay,Queensland,龋林,AU,4655
11756,Linda,Ortega,1974-03-13,固去,咯己,St. Leonards,New South Wales,龋林,AU,2065
11757,Vincent,Cai,1979-05-11,扁去,巢己,Cranbourne,Victoria,龋林,AU,3977
11758,Colin,Yuan,1979-12-19,扁去,巢己,Darlinghurst,New South Wales,龋林,AU,2010
11759,Dawn,Nath,1980-11-18,扁去,咯己,Cloverdale,South Australia,龋林,AU,6105
11760,Melody,Moreno,1973-04-25,扁去,咯己,Findon,South Australia,龋林,AU,5023
11761,Edgar,Mehta,1972-10-16,固去,巢己,Hobart,Tasmania,龋林,AU,7001
11762,Randall,Gomez,1984-02-17,扁去,巢己,Wollongong,New South Wales,龋林,AU,2500
11763,Ross,Fernandez,1972-08-10,扁去,巢己,Springwood,New South Wales,龋林,AU,2777
11764,Jessie,Ramos,1973-01-13,固去,咯己,Newcastle,New South Wales,龋林,AU,2300
11765,Marc,Torres,1983-04-06,扁去,巢己,North Ryde,New South Wales,龋林,AU,2113
11766,Candace,Raman,1972-01-01,固去,咯己,South Melbourne,Victoria,龋林,AU,3205
11767,Meagan,Madan,1977-05-20,固去,咯己,Hawthorne,Queensland,龋林,AU,4171
11768,Clayton,Nara,1983-04-03,扁去,巢己,Perth,South Australia,龋林,AU,6006
11892,Julio,Ortega,1975-04-07,扁去,巢己,Rhodes,New South Wales,龋林,AU,2138
11893,Orlando,Carlson,1974-08-09,扁去,巢己,Sydney,New South Wales,龋林,AU,1002
11894,Ann,Gonzalez,1980-04-30,扁去,咯己,Hervey Bay,Queensland,龋林,AU,4655
11895,Dustin,Chander,1975-01-18,扁去,巢己,Gold Coast,Queensland,龋林,AU,4217
11896,Frank,Carlson,1975-05-18,扁去,巢己,Springwood,New South Wales,龋林,AU,2777
11897,Orlando,Ashe,1974-05-28,固去,巢己,South Melbourne,Victoria,龋林,AU,3205
11898,Angela,Henderson,1975-12-31,扁去,咯己,Brisbane,Queensland,龋林,AU,4000
11899,Brenda,Perez,1976-03-15,固去,咯己,Melton,Victoria,龋林,AU,3337
11900,Byron,Carlson,1981-03-03,固去,巢己,Newcastle,New South Wales,龋林,AU,2300
11901,Stacy,Alvarez,1973-08-18,固去,咯己,Darlinghurst,New South Wales,龋林,AU,2010
11902,Drew,Pal,1972-09-14,扁去,巢己,Malabar,New South Wales,龋林,AU,2036
11903,Kate,Raji,1985-10-21,固去,咯己,Caloundra,Queensland,龋林,AU,4551
11904,Kaylee,Cook,1986-05-05,固去,咯己,Geelong,Victoria,龋林,AU,3220
11905,Isaiah,Ramirez,1974-12-14,固去,巢己,Hobart,Tasmania,龋林,AU,7001
11906,Gabriella,Sanders,1972-08-17,扁去,咯己,Brisbane,Queensland,龋林,AU,4000
11907,Sarah,Garcia,1973-03-07,固去,咯己,Wollongong,New South Wales,龋林,AU,2500
11908,Rafael,Tang,1972-01-08,固去,巢己,South Melbourne,Victoria,龋林,AU,3205
11909,Nichole,She,1971-08-10,扁去,咯己,Rockhampton,Queensland,龋林,AU,4700
11910,Jaclyn,Zheng,1971-12-10,扁去,咯己,Goulburn,New South Wales,龋林,AU,2580
11911,Rachael,Kapoor,1972-05-15,扁去,咯己,Geelong,Victoria,龋林,AU,3220
11912,Rachael,Sai,1971-06-16,固去,咯己,Townsville,Queensland,龋林,AU,4810
11913,Rebecca,Robinson,1970-12-09,扁去,咯己,Seaford,Victoria,龋林,AU,3198
11914,Meagan,Rana,1979-05-05,固去,咯己,Port Macquarie,New South Wales,龋林,AU,2444
11915,Philip,Carlson,1973-09-13,固去,巢己,Port Macquarie,New South Wales,龋林,AU,2444
11916,Joe,Rana,1976-09-03,固去,巢己,Warrnambool,Victoria,龋林,AU,3280
11917,Roy,Sanz,1971-04-21,固去,巢己,Darlinghurst,New South Wales,龋林,AU,2010
11918,Kaylee,Hill,1969-08-31,扁去,咯己,Coffs Harbour,New South Wales,龋林,AU,2450
11919,Warren,Andersen,1969-08-17,扁去,巢己,Rockhampton,Queensland,龋林,AU,4700
11920,Adrienne,Gomez,1975-02-24,固去,咯己,Brisbane,Queensland,龋林,AU,4000
11921,Gilbert,Zhu,1970-06-22,扁去,巢己,Cranbourne,Victoria,龋林,AU,3977
11929,Virginia,Gonzalez,1962-08-08,固去,咯己,St. Leonards,New South Wales,龋林,AU,2065
11930,Jaclyn,Nara,1952-10-31,扁去,咯己,North Sydney,New South Wales,龋林,AU,2055
11942,George,Gonzalez,1954-12-11,扁去,巢己,Newcastle,New South Wales,龋林,AU,2300
11943,Dawn,Huang,1954-08-27,扁去,咯己,Warrnambool,Victoria,龋林,AU,3280
11944,Rachael,Rodriguez,1956-04-13,固去,咯己,Silverwater,New South Wales,龋林,AU,2264
11946,Brandy,Saunders,1956-07-02,固去,咯己,Sydney,New South Wales,龋林,AU,1002
11947,Jenny,Zheng,1957-04-20,固去,咯己,Rhodes,New South Wales,龋林,AU,2138
11948,Tasha,Xu,1956-10-07,扁去,咯己,St. Leonards,New South Wales,龋林,AU,2065
11951,Lacey,Huang,1958-02-03,扁去,咯己,Melbourne,Victoria,龋林,AU,3000
11952,Dorothy,Robinson,1960-03-22,固去,巢己,Geelong,Victoria,龋林,AU,3220
11963,Antonio,Patterson,1960-12-10,扁去,巢己,Coffs Harbour,New South Wales,龋林,AU,2450
11964,Sharon,Salavaria,1967-02-13,固去,巢己,East Brisbane,Queensland,龋林,AU,4169
11965,Katie,She,1962-04-18,固去,咯己,Matraville,New South Wales,龋林,AU,2036
11966,Rafael,Black,1967-02-13,固去,巢己,Bendigo,Victoria,龋林,AU,3550
11967,Latasha,Munoz,1962-08-10,固去,咯己,Hervey Bay,Queensland,龋林,AU,4655
11968,Kelsey,Becker,1964-04-19,固去,咯己,Milsons Point,New South Wales,龋林,AU,2061
11969,Randy,Xu,1964-01-22,固去,巢己,Perth,South Australia,龋林,AU,6006
11976,Audrey,Ramos,1970-05-22,固去,咯己,North Sydney,New South Wales,龋林,AU,2055
11977,Bonnie,Jai,1964-11-19,扁去,咯己,Newcastle,New South Wales,龋林,AU,2300
11986,Max,Alvarez,1969-01-20,固去,巢己,Geelong,Victoria,龋林,AU,3220
11987,Diane,Vazquez,1973-05-26,扁去,咯己,South Melbourne,Victoria,龋林,AU,3205
11988,Kathryn,Chapman,1968-02-17,固去,咯己,Goulburn,New South Wales,龋林,AU,2580
11989,Kara,Anand,1984-03-20,固去,咯己,Hawthorne,Queensland,龋林,AU,4171
11990,Joanna,Vazquez,1968-01-12,固去,咯己,Newcastle,New South Wales,龋林,AU,2300
11991,Frederick,Martinez,1968-02-07,扁去,巢己,Milsons Point,New South Wales,龋林,AU,2061
11992,Tonya,Chande,1972-06-09,固去,咯己,Brisbane,Queensland,龋林,AU,4000
11993,Rosa,Wang,1977-09-12,固去,咯己,Goulburn,New South Wales,龋林,AU,2580
11994,Leah,Hu,1977-10-18,固去,咯己,Townsville,Queensland,龋林,AU,4810
11995,Kelvin,Carson,1965-12-12,扁去,巢己,Sunbury,Victoria,龋林,AU,3429
11996,Veronica,Srini,1966-01-30,固去,咯己,Caloundra,Queensland,龋林,AU,4551
11997,Kristina,Kapoor,1971-04-04,扁去,咯己,Coffs Harbour,New South Wales,龋林,AU,2450
11998,Donna,Sharma,1966-02-07,扁去,咯己,Hawthorne,Queensland,龋林,AU,4171
11999,Johnny,Shan,1965-12-03,扁去,巢己,Newcastle,New South Wales,龋林,AU,2300
12000,Ashley,Russell,1970-09-09,固去,咯己,Caloundra,Queensland,龋林,AU,4551
12001,Shannon,Yang,1981-12-30,固去,咯己,Goulburn,New South Wales,龋林,AU,2580
12002,Adriana,Lopez,1969-08-05,固去,咯己,Lane Cove,New South Wales,龋林,AU,1597
12003,Audrey,Munoz,1979-09-04,固去,咯己,Hervey Bay,Queensland,龋林,AU,4655
12004,Jarrod,Suri,1974-12-16,固去,巢己,Melton,Victoria,龋林,AU,3337
12005,Gilbert,Shen,1973-07-13,扁去,巢己,Hawthorne,Queensland,龋林,AU,4171
12006,Richard,Blue,1973-03-12,扁去,巢己,Townsville,Queensland,龋林,AU,4810
12007,Shannon,Sun,1967-01-23,扁去,咯己,Brisbane,Queensland,龋林,AU,4000
12008,Sharon,Yuan,1967-02-19,扁去,咯己,Hervey Bay,Queensland,龋林,AU,4655
12009,Ann,Martinez,1963-01-31,固去,咯己,North Ryde,New South Wales,龋林,AU,2113
12010,Max,Serrano,1962-08-26,扁去,巢己,Townsville,Queensland,龋林,AU,4810
12011,Morgan,Johnson,1940-08-16,固去,咯己,Bendigo,Victoria,龋林,AU,3550
12012,Monica,Schmidt,1971-10-19,扁去,咯己,Coffs Harbour,New South Wales,龋林,AU,2450
12013,Kayla,Lewis,1958-09-04,固去,咯己,Sunbury,Victoria,龋林,AU,3429
12014,Devin,Sanders,1954-08-09,扁去,巢己,Bendigo,Victoria,龋林,AU,3550
12021,Deborah,Yuan,1951-08-13,固去,咯己,Springwood,New South Wales,龋林,AU,2777
12034,Julian,Long,1946-09-11,扁去,巢己,Cranbourne,Victoria,龋林,AU,3977
12035,Gerald,Prasad,1946-12-20,扁去,巢己,Hobart,Tasmania,龋林,AU,7001
12036,Summer,Lopez,1946-08-06,扁去,咯己,Rockhampton,Queensland,龋林,AU,4700
12037,Patricia,Chapman,1949-03-13,固去,咯己,Caloundra,Queensland,龋林,AU,4551
12038,George,Vance,1949-02-06,固去,巢己,Darlinghurst,New South Wales,龋林,AU,2010
12039,Ricardo,Nath,1948-08-12,扁去,巢己,Bendigo,Victoria,龋林,AU,3550
12240,Clayton,Sharma,1986-06-03,固去,巢己,Matraville,New South Wales,龋林,AU,2036
12241,Kristine,Sandberg,1985-05-05,固去,咯己,Wollongong,New South Wales,龋林,AU,2500
12242,Gilbert,Liang,1984-08-03,固去,巢己,Findon,South Australia,龋林,AU,5023
12243,Kristy,Rubio,1985-11-15,固去,咯己,Geelong,Victoria,龋林,AU,3220
12244,Amy,Huang,1986-05-22,扁去,咯己,Rhodes,New South Wales,龋林,AU,2138
12245,Francisco,Gonzalez,1984-05-25,固去,巢己,Rhodes,New South Wales,龋林,AU,2138
12246,Shawn,Luo,1985-04-10,扁去,巢己,Melton,Victoria,龋林,AU,3337
12247,Brandy,Raman,1985-04-16,固去,咯己,Darlinghurst,New South Wales,龋林,AU,2010
12248,Devin,Taylor,1983-09-11,固去,巢己,Geelong,Victoria,龋林,AU,3220
12249,Jessie,Cai,1984-03-15,扁去,巢己,Matraville,New South Wales,龋林,AU,2036
12250,Andrea,Collins,1982-10-06,固去,咯己,Brisbane,Queensland,龋林,AU,4000
12251,Troy,Suri,1982-10-07,扁去,巢己,East Brisbane,Queensland,龋林,AU,4169
12252,Omar,Liu,1983-03-31,扁去,巢己,Caloundra,Queensland,龋林,AU,4551
12253,Jenny,Sun,1982-08-14,固去,咯己,North Sydney,New South Wales,龋林,AU,2055
12337,Dustin,Goldstein,1981-04-07,固去,巢己,Lavender Bay,New South Wales,龋林,AU,2060
12338,Monica,Vance,1982-01-05,固去,咯己,South Melbourne,Victoria,龋林,AU,3205
12339,Clayton,Jai,1982-01-05,固去,巢己,Findon,South Australia,龋林,AU,5023
12340,Stacy,Diaz,1982-05-05,固去,咯己,Caloundra,Queensland,龋林,AU,4551
12341,Katie,Kumar,1982-03-09,扁去,咯己,Lane Cove,New South Wales,龋林,AU,1597
12342,Morgan,Young,1980-09-05,扁去,咯己,Sydney,New South Wales,龋林,AU,1002
12343,Gloria,Ruiz,1979-12-02,扁去,咯己,Milsons Point,New South Wales,龋林,AU,2061
12344,Dominique,Perez,1980-11-29,固去,咯己,Darlinghurst,New South Wales,龋林,AU,2010
12345,Alison,Raje,1980-12-24,固去,咯己,Townsville,Queensland,龋林,AU,4810
12346,Wesley,Gao,1980-11-18,固去,巢己,Silverwater,New South Wales,龋林,AU,2264
12347,Summer,Madan,1980-08-20,扁去,咯己,Warrnambool,Victoria,龋林,AU,3280
12348,Jimmy,Vazquez,1979-08-24,扁去,巢己,Lavender Bay,New South Wales,龋林,AU,2060
12349,Lacey,Yuan,1980-01-23,固去,咯己,Silverwater,New South Wales,龋林,AU,2264
12350,Logan,Hernandez,1984-02-22,扁去,巢己,Geelong,Victoria,龋林,AU,3220
12351,Cara,Zhang,1984-09-28,扁去,咯己,Sunbury,Victoria,龋林,AU,3429
12352,Ramon,Zhang,1978-09-02,扁去,巢己,North Sydney,New South Wales,龋林,AU,2055
12353,Joe,Ramos,1984-10-16,扁去,巢己,Hawthorne,Queensland,龋林,AU,4171
12354,Lance,Ortega,1984-08-03,扁去,巢己,Geelong,Victoria,龋林,AU,3220
12355,Monique,Ortega,1984-03-19,固去,咯己,Wollongong,New South Wales,龋林,AU,2500
12356,Julia,Wood,1977-02-18,固去,咯己,Port Macquarie,New South Wales,龋林,AU,2444
12357,Susan,Lu,1982-04-03,固去,咯己,Findon,South Australia,龋林,AU,5023
12358,Lacey,Raje,1975-08-26,扁去,咯己,Milsons Point,New South Wales,龋林,AU,2061
12359,Veronica,Raman,1975-08-19,扁去,咯己,Milsons Point,New South Wales,龋林,AU,2061
12360,Mario,Goel,1977-01-22,固去,巢己,North Sydney,New South Wales,龋林,AU,2055
12361,Dana,Diaz,1982-03-28,扁去,咯己,East Brisbane,Queensland,龋林,AU,4169
